File,Drug,ADE,Sentence
ARTHROTEC.143,tylenol 3,severe abdominal pain,took 50 milligrams arthrotec with one tylenol 3 and within 30 minutes i had the most severe abdominal pain i've ever experienced.
ARTHROTEC.16,arthrotec,pain,"though the cause of my pain remains undetermined, the arthrotec combined with paracetamol pretty much eliminated the pain."
ARTHROTEC.16,paracetamol,pain,"though the cause of my pain remains undetermined, the arthrotec combined with paracetamol pretty much eliminated the pain."
ARTHROTEC.16,ibuprofen,bad headache,i had a very bad headache yesterday and ibuprofen again didn't work.
ARTHROTEC.17,advil,gi bleed,i was put on this medication because i was taking such high doses of advil to quell the inflammation in my neck and back muscles that it caused me to have a gi bleed.
ARTHROTEC.17,advil,high,i was put on this medication because i was taking such high doses of advil to quell the inflammation in my neck and back muscles that it caused me to have a gi bleed.
ARTHROTEC.17,advil,inflammation,i was put on this medication because i was taking such high doses of advil to quell the inflammation in my neck and back muscles that it caused me to have a gi bleed.
ARTHROTEC.20,arthrotec,lower back pain,i was experiencing lower back pain and noticed my spouse had some arthrotec 50mg anti inflammatory pills left.
ARTHROTEC.24,pamprin,cramps,i ended up having to take additional medication to get rid of the cramps pamprin so that i could sleep.
ARTHROTEC.26,arthrotec,pain,"after trying several nsaids with side effects, i finally discovered arthrotec which relieved the pain and no side effects."
ARTHROTEC.27,arthrotec,severe mentrual cramps,"one hour after taking arthrotec, i experienced the sudden onset of severe mentrual cramps."
ARTHROTEC.27,advil,cannot sleep,"i am in so much pain that i cannot sleep, nor can i take advil for the pain as it is also an nsaid."
ARTHROTEC.27,advil,pain,"i am in so much pain that i cannot sleep, nor can i take advil for the pain as it is also an nsaid."
ARTHROTEC.27,advil,so much pain,"i am in so much pain that i cannot sleep, nor can i take advil for the pain as it is also an nsaid."
ARTHROTEC.29,cymbalta,pain,cymbalta 120 milligrams per day helps enough with the pain.
ARTHROTEC.3,arthrotec,make it worse,arthrotec was supposed to ease my pain not make it worse.
ARTHROTEC.3,arthrotec,pain,arthrotec was supposed to ease my pain not make it worse.
ARTHROTEC.30,arthrotec,back pain,i have been on arthrotec for a year and a half and have been very pleased that it does help deal with my back pain.
ARTHROTEC.30,arthrotec,bleeding,"i have not taken arthrotec in almost a week, yet i am still bleeding."
ARTHROTEC.36,advil,cramping,just took 2 advil to try and combat the cramping pain!
ARTHROTEC.36,advil,pain,just took 2 advil to try and combat the cramping pain!
ARTHROTEC.39,vitamin c crystals,headaches,"natural cures are better apple cidar vinegar can effectively cure arthritis and headaches vitamin c crystals can help pain at high doses the gerson diet with no salt can cure migrains, fibro etc see doctoryourself.com and 'just say no to drugs' nancy reagan ."
ARTHROTEC.39,vitamin c crystals,high,"natural cures are better apple cidar vinegar can effectively cure arthritis and headaches vitamin c crystals can help pain at high doses the gerson diet with no salt can cure migrains, fibro etc see doctoryourself.com and 'just say no to drugs' nancy reagan ."
ARTHROTEC.39,vitamin c crystals,pain,"natural cures are better apple cidar vinegar can effectively cure arthritis and headaches vitamin c crystals can help pain at high doses the gerson diet with no salt can cure migrains, fibro etc see doctoryourself.com and 'just say no to drugs' nancy reagan ."
ARTHROTEC.4,arthrotec,horrific cramps,"i have horrific cramps to begin with, so i can't say whether arthrotec increased that."
ARTHROTEC.41,co-codamol,fibromyalgia,i've taken co-codamol for my fibromyalgia for many years which i have very few side effects with.
ARTHROTEC.41,co codamol,severe hip pain,i've recently had this severe hip pain on both sides which the co codamol wasn't touching so i went back to the doctor
ARTHROTEC.43,arthrotec,urinary incontinence,"the day i took my first arthrotec, i started experiencing urinary incontinence."
ARTHROTEC.45,flu jab,fluey feelings,"has been all ok until recently when i started to get fluey feelings in upper arms, legs etc as i had just recently had flu jab thought this was the cause."
ARTHROTEC.58,arthrotec,knee pain,i had been taking arthrotec before for my knee pain and it helped me a lot.
ARTHROTEC.58,cortisone shot,knee pain,i only had 10-12 pills left from last march when i had a cortisone shot and my knee pain went away.
ARTHROTEC.6,arthrotec,pain,the only good thing i can say about arthrotec is that i did notice pain relief but i won't put up with the side effects on a daily basis since i spent a long time getting rid of a reflux problem in the past.
ARTHROTEC.6,arthrotec,reflux,the only good thing i can say about arthrotec is that i did notice pain relief but i won't put up with the side effects on a daily basis since i spent a long time getting rid of a reflux problem in the past.
ARTHROTEC.6,arthrotec,abdominal gas,"the abdominal gas,cramps and discomfort are another thing i don't want to see get worse if i keep taking arthrotec."
ARTHROTEC.6,arthrotec,cramps,"the abdominal gas,cramps and discomfort are another thing i don't want to see get worse if i keep taking arthrotec."
ARTHROTEC.6,arthrotec,discomfort,"the abdominal gas,cramps and discomfort are another thing i don't want to see get worse if i keep taking arthrotec."
ARTHROTEC.64,arthrotec,drowsiness,i also had some drowsiness after taking arthrotec.
ARTHROTEC.64,arthrotec,knee pain,"arthrotec works very well for my knee pain, more so than mobic or celebrex."
ARTHROTEC.64,celebrex,knee pain,"arthrotec works very well for my knee pain, more so than mobic or celebrex."
ARTHROTEC.64,mobic,knee pain,"arthrotec works very well for my knee pain, more so than mobic or celebrex."
ARTHROTEC.7,clonidine,bp was extrememly high,"started having a severe sudden onset headache in the back of head, resulted in trip to doctor, bp was extrememly high, and pulse was high as well, after three shots, and 3 clonidine to bring down bp was recommend to visit er. had high bp for another 10 days, before it came back down to normal, and pulse is still extremely high 3 weeks after stopping the medicine."
ARTHROTEC.7,clonidine,high bp,"started having a severe sudden onset headache in the back of head, resulted in trip to doctor, bp was extrememly high, and pulse was high as well, after three shots, and 3 clonidine to bring down bp was recommend to visit er. had high bp for another 10 days, before it came back down to normal, and pulse is still extremely high 3 weeks after stopping the medicine."
ARTHROTEC.7,clonidine,pulse is still extremely high,"started having a severe sudden onset headache in the back of head, resulted in trip to doctor, bp was extrememly high, and pulse was high as well, after three shots, and 3 clonidine to bring down bp was recommend to visit er. had high bp for another 10 days, before it came back down to normal, and pulse is still extremely high 3 weeks after stopping the medicine."
ARTHROTEC.7,clonidine,pulse was high,"started having a severe sudden onset headache in the back of head, resulted in trip to doctor, bp was extrememly high, and pulse was high as well, after three shots, and 3 clonidine to bring down bp was recommend to visit er. had high bp for another 10 days, before it came back down to normal, and pulse is still extremely high 3 weeks after stopping the medicine."
ARTHROTEC.7,clonidine,severe sudden onset headache in the back of head,"started having a severe sudden onset headache in the back of head, resulted in trip to doctor, bp was extrememly high, and pulse was high as well, after three shots, and 3 clonidine to bring down bp was recommend to visit er. had high bp for another 10 days, before it came back down to normal, and pulse is still extremely high 3 weeks after stopping the medicine."
ARTHROTEC.74,nexium,discomfort,"slight gasto discomfort, but usually take nexium so discomfort is tolerable."
ARTHROTEC.74,nexium,gasto discomfort,"slight gasto discomfort, but usually take nexium so discomfort is tolerable."
ARTHROTEC.76,chondroitin,pain,"am trying to wean off it with glucoasamine chondroitin and msm, which are supposed to be good for arthritis, bone enhancement elasticity etc taking all at same time now,pain is too great!"
ARTHROTEC.76,glucoasamine,pain,"am trying to wean off it with glucoasamine chondroitin and msm, which are supposed to be good for arthritis, bone enhancement elasticity etc taking all at same time now,pain is too great!"
ARTHROTEC.76,msm,pain,"am trying to wean off it with glucoasamine chondroitin and msm, which are supposed to be good for arthritis, bone enhancement elasticity etc taking all at same time now,pain is too great!"
ARTHROTEC.77,avandia,elevated my blood glucose levels,"elevated my blood glucose levels because i am also on vasotec, glyburide, avandia."
ARTHROTEC.77,glyburide,elevated my blood glucose levels,"elevated my blood glucose levels because i am also on vasotec, glyburide, avandia."
ARTHROTEC.77,vasotec,elevated my blood glucose levels,"elevated my blood glucose levels because i am also on vasotec, glyburide, avandia."
ARTHROTEC.79,arthrotec 50,pain,"somewhat concerned about the long term effects and listed possible side effects, so i've only ever taken arthrotec 50 once daily rather than twice, which is just enough to manage my pain levels."
ARTHROTEC.82,arthrotec,menstrual cramps,arthrotec seemed to induce my menstrual cramps and cause the pain to be severe.
ARTHROTEC.82,arthrotec,pain,arthrotec seemed to induce my menstrual cramps and cause the pain to be severe.
ARTHROTEC.89,estrace,bleeding,i had been using estrace for several months but had not had bleeding from the estrace alone.
ARTHROTEC.94,aspirin,pain,"i will not take it again as the pain was extreme, but others should be cautious to take with lots of food and no aspirin."
ARTHROTEC.99,arthrotec,pain,"when i am on holiday at the coast i am pain free, mostly, so don't take any arthrotec, but when i get back to a drier climate the pain is severe, so arthrotec is very important to me and my quality of life."
CATAFLAM.10,cataflam,gi distress,no symptoms of gi distress before cataflam but 4 days on it
CATAFLAM.5,cataflam,stevens johnson syndrome,cataflam linked to stevens johnson syndrome.
CATAFLAM.8,ibu,inflammation,was given this to replace ibuprofen possible sun sensitivity developed with ibu but it doesn't relieve any pain for me or reduce inflammation.
CATAFLAM.8,ibu,pain,was given this to replace ibuprofen possible sun sensitivity developed with ibu but it doesn't relieve any pain for me or reduce inflammation.
CATAFLAM.8,ibu,sun sensitivity,was given this to replace ibuprofen possible sun sensitivity developed with ibu but it doesn't relieve any pain for me or reduce inflammation.
CATAFLAM.8,ibuprofen,inflammation,was given this to replace ibuprofen possible sun sensitivity developed with ibu but it doesn't relieve any pain for me or reduce inflammation.
CATAFLAM.8,ibuprofen,pain,was given this to replace ibuprofen possible sun sensitivity developed with ibu but it doesn't relieve any pain for me or reduce inflammation.
CATAFLAM.8,ibuprofen,sun sensitivity,was given this to replace ibuprofen possible sun sensitivity developed with ibu but it doesn't relieve any pain for me or reduce inflammation.
CATAFLAM.9,cataflam,pain,"i do restorative yoga postures to get myself loosened up every day, but keep the cataflam handy as nothing works better for the pain, unless i have an extremely bad time where i have to take a demerol with it rarely ."
CATAFLAM.9,demerol,pain,"i do restorative yoga postures to get myself loosened up every day, but keep the cataflam handy as nothing works better for the pain, unless i have an extremely bad time where i have to take a demerol with it rarely ."
DICLOFENAC-SODIUM.1,aleve,pain,"unlike previously taking just one tablet of aleve, which immediately took away my pain symptoms, this drug had absolutely no effect at all."
DICLOFENAC-SODIUM.2,aleve,pain,it did not help with my pain as well as aleve does.
DICLOFENAC-SODIUM.6,neurontin,drowsiness,"no drowsiness, grogginess or memory loss like i had with neurontin."
DICLOFENAC-SODIUM.6,neurontin,grogginess,"no drowsiness, grogginess or memory loss like i had with neurontin."
DICLOFENAC-SODIUM.6,neurontin,memory loss,"no drowsiness, grogginess or memory loss like i had with neurontin."
LIPITOR.1000,alleve,inflamation,left shoulder is so bad right now have ice pack as i am typing this and have been taking alleve daily for the inflamation and pain.
LIPITOR.1000,alleve,pain,left shoulder is so bad right now have ice pack as i am typing this and have been taking alleve daily for the inflamation and pain.
LIPITOR.106,norvasc,anxiety,"however, at that time - over a month ago - i was only aware of norvasc's side effects and, indeed, when i stopped taking it most of the anxiety and paranoia symptoms disappeared - most, but not all."
LIPITOR.106,norvasc,paranoia,"however, at that time - over a month ago - i was only aware of norvasc's side effects and, indeed, when i stopped taking it most of the anxiety and paranoia symptoms disappeared - most, but not all."
LIPITOR.106,amlodiphine,psychiatric side effects,spoke to a psychiatrist and she confirmed that the entire family of norvasc called amlodiphine is known to have psychiatric side effects.
LIPITOR.106,norvasc,psychiatric side effects,spoke to a psychiatrist and she confirmed that the entire family of norvasc called amlodiphine is known to have psychiatric side effects.
LIPITOR.107,lipitor,anzity,all and some not noted - kidney-metal moods-anzity-sugar level drops - stomach ulcer-joint pain- memory trouble- put on more medicines- lipitor admited to giving kidney troubles to me -i took other s with same troubles and more.
LIPITOR.107,lipitor,joint pain,all and some not noted - kidney-metal moods-anzity-sugar level drops - stomach ulcer-joint pain- memory trouble- put on more medicines- lipitor admited to giving kidney troubles to me -i took other s with same troubles and more.
LIPITOR.107,lipitor,kidney,all and some not noted - kidney-metal moods-anzity-sugar level drops - stomach ulcer-joint pain- memory trouble- put on more medicines- lipitor admited to giving kidney troubles to me -i took other s with same troubles and more.
LIPITOR.107,lipitor,kidney troubles,all and some not noted - kidney-metal moods-anzity-sugar level drops - stomach ulcer-joint pain- memory trouble- put on more medicines- lipitor admited to giving kidney troubles to me -i took other s with same troubles and more.
LIPITOR.107,lipitor,memory trouble,all and some not noted - kidney-metal moods-anzity-sugar level drops - stomach ulcer-joint pain- memory trouble- put on more medicines- lipitor admited to giving kidney troubles to me -i took other s with same troubles and more.
LIPITOR.107,lipitor,metal moods,all and some not noted - kidney-metal moods-anzity-sugar level drops - stomach ulcer-joint pain- memory trouble- put on more medicines- lipitor admited to giving kidney troubles to me -i took other s with same troubles and more.
LIPITOR.107,lipitor,stomach ulcer,all and some not noted - kidney-metal moods-anzity-sugar level drops - stomach ulcer-joint pain- memory trouble- put on more medicines- lipitor admited to giving kidney troubles to me -i took other s with same troubles and more.
LIPITOR.107,lipitor,sugar level drops,all and some not noted - kidney-metal moods-anzity-sugar level drops - stomach ulcer-joint pain- memory trouble- put on more medicines- lipitor admited to giving kidney troubles to me -i took other s with same troubles and more.
LIPITOR.107,satin,dejestive system,"i took many satin drugs for 5 years of horror, they almost killed me, i was 45 , 55 now and still have health troubles related to these medicines, mostly dejestive system and stomach ulcers-"
LIPITOR.107,satin,stomach ulcers,"i took many satin drugs for 5 years of horror, they almost killed me, i was 45 , 55 now and still have health troubles related to these medicines, mostly dejestive system and stomach ulcers-"
LIPITOR.110,lipitor,fear,i fear stopping the lipitor because i fear a heart attack.
LIPITOR.110,lipitor,heart attack,i fear stopping the lipitor because i fear a heart attack.
LIPITOR.112,lipitor's,psychiatric side effects,first he was a bit reluctant but in the following meeting he already told me that he had read about lipitor's psychiatric side effects.
LIPITOR.113,lipitor,back pain,stopped the lipitor about a week ago and still having horrible back pain.
LIPITOR.114,lipitor 20mg,nausea,"fast forward 3 years, he went to doctor for check up he has known coronary disease and was started back on lipitor 20mg. at about 2 months in, he had nausea and sweating occasionally."
LIPITOR.114,lipitor 20mg,sweating,"fast forward 3 years, he went to doctor for check up he has known coronary disease and was started back on lipitor 20mg. at about 2 months in, he had nausea and sweating occasionally."
LIPITOR.114,toprol,low bp,we thought it was the toprol at first due to low bp and pulse also.
LIPITOR.117,lipitor,disabled,"still have pain in feet and legs, since doctor made me continue this lipitor crippling medicine from hell and when i refused to take it the 2nd time, even though they continued to tell me that i could die if i did not take it, with my response being that i could live with agonizing pain and be disabled on this medication or possibly not die from this medication and still provide for my family by working."
LIPITOR.117,lipitor,pain,"still have pain in feet and legs, since doctor made me continue this lipitor crippling medicine from hell and when i refused to take it the 2nd time, even though they continued to tell me that i could die if i did not take it, with my response being that i could live with agonizing pain and be disabled on this medication or possibly not die from this medication and still provide for my family by working."
LIPITOR.117,lipitor,pain in feet and legs,"still have pain in feet and legs, since doctor made me continue this lipitor crippling medicine from hell and when i refused to take it the 2nd time, even though they continued to tell me that i could die if i did not take it, with my response being that i could live with agonizing pain and be disabled on this medication or possibly not die from this medication and still provide for my family by working."
LIPITOR.117,simcor,feet still hurt,"that was long ago and my feet still hurt so bad by the end of my work day, because they decided i should take simcor in its place."
LIPITOR.117,simcor,foot ankle pain,"now i had no ideas at the time about statin drugs until i found this website, i had been on simcor for 1 month and stopped it immediately when i realized that it was perpetuating my foot ankle pain."
LIPITOR.12,testosterone,body aches,"body aches, joint pain, decreased mobility, decreased testosterone and libido, difficulty getting out of bed in the morning, tingling and itchy hands,and decrease in overall strength."
LIPITOR.12,testosterone,decrease in overall strength,"body aches, joint pain, decreased mobility, decreased testosterone and libido, difficulty getting out of bed in the morning, tingling and itchy hands,and decrease in overall strength."
LIPITOR.12,testosterone,decreased mobility,"body aches, joint pain, decreased mobility, decreased testosterone and libido, difficulty getting out of bed in the morning, tingling and itchy hands,and decrease in overall strength."
LIPITOR.12,testosterone,decreased testosterone,"body aches, joint pain, decreased mobility, decreased testosterone and libido, difficulty getting out of bed in the morning, tingling and itchy hands,and decrease in overall strength."
LIPITOR.12,testosterone,difficulty getting out of bed in the morning,"body aches, joint pain, decreased mobility, decreased testosterone and libido, difficulty getting out of bed in the morning, tingling and itchy hands,and decrease in overall strength."
LIPITOR.12,testosterone,itchy hands,"body aches, joint pain, decreased mobility, decreased testosterone and libido, difficulty getting out of bed in the morning, tingling and itchy hands,and decrease in overall strength."
LIPITOR.12,testosterone,joint pain,"body aches, joint pain, decreased mobility, decreased testosterone and libido, difficulty getting out of bed in the morning, tingling and itchy hands,and decrease in overall strength."
LIPITOR.12,testosterone,tingling,"body aches, joint pain, decreased mobility, decreased testosterone and libido, difficulty getting out of bed in the morning, tingling and itchy hands,and decrease in overall strength."
LIPITOR.130,lipitor atorvastatin,severe shoulder pain,"after ten years of misery i stopped taking lipitor atorvastatin, on the advice of my doctor, for a week to relieve severe shoulder pain, which i extended to ten days when i noticed an amazing improvement in my general well-being and after the ten days felt so much better i stopped taking it altogether."
LIPITOR.133,atorvastatin,emotional changes,"i did take the actual lipitor for several yrs, and it did lower cholesteral, but started experiencing the muscle tingley thing and stopped , then started with the atorvastatin, where i noticed the above side affects. be very aware of any physical emotional changes."
LIPITOR.133,atorvastatin,muscle tingley thing,"i did take the actual lipitor for several yrs, and it did lower cholesteral, but started experiencing the muscle tingley thing and stopped , then started with the atorvastatin, where i noticed the above side affects. be very aware of any physical emotional changes."
LIPITOR.133,lipitor,emotional changes,"i did take the actual lipitor for several yrs, and it did lower cholesteral, but started experiencing the muscle tingley thing and stopped , then started with the atorvastatin, where i noticed the above side affects. be very aware of any physical emotional changes."
LIPITOR.133,lipitor,muscle tingley thing,"i did take the actual lipitor for several yrs, and it did lower cholesteral, but started experiencing the muscle tingley thing and stopped , then started with the atorvastatin, where i noticed the above side affects. be very aware of any physical emotional changes."
LIPITOR.137,lipitor,high,"before i was put on lipitor for high cholesterol, i had an echo done, normal results."
LIPITOR.137,lipitor,altered my heart function,this past year i lost 20 pounds which should put my heart in the healthy stage. looked up lipitor and dd and showed a connection that the lipitor altered my heart function!.
LIPITOR.14,lipitor,extreme pain,"soon after starting lipitor i developed extreme pain in both inner arms at the elbows, over the next years i developed inflammed ligaments and bursae in my shoulders and ankles."
LIPITOR.14,lipitor,inflammed ligaments,"soon after starting lipitor i developed extreme pain in both inner arms at the elbows, over the next years i developed inflammed ligaments and bursae in my shoulders and ankles."
LIPITOR.14,lipitor,pains,neither my doctors nor i ever related these pains to lipitor.
LIPITOR.145,lipitor,depression,suffered from depression after taking lipitor but did not realize connection.
LIPITOR.145,lipitor,depression,stopped taking lipitor and depression left within days.
LIPITOR.146,lipitor,balance,"hdl ldl balance much improved, but i would not want to start taking lipitor again as i feel it disrupted my life considerably."
LIPITOR.147,lipitor,calf pain,just tonight did i do a web search on lipitor and calf pain and now am pretty convinced it is the lipitor from all i have read on this site.
LIPITOR.147,lipitor,muscle pull,will stop lipitor for now and try to resume running -once my muscle pull heals and hopefully it won't recur.
LIPITOR.15,lipitor,multiple sclerosis,"i have not clinically proved my theory yet , but i strongly believe that taking lipitor for 4 years ended up giving me multiple sclerosis."
LIPITOR.155,lipitor,stomach cramps,while taking lipitor i had stomach cramps every day.
LIPITOR.160,lipitor,pain,i read this website and feel that lipitor is causing my pain.
LIPITOR.162,lipitor,extremely fatigued,"after taking lipitor for several months, and gradually incrasing my dose to 40mg, i started to get extremely fatigued."
LIPITOR.163,lipitor,kidney,i've been on lipitor for almost 2 years as a booster for a type of kidney malfunction.
LIPITOR.167,st john's wort,depression,"heaviness in the legs, foot and leg cramps at night and even long muscles beside spine, those are the worst. rashes on forearms from sun sensitivity, scarred from itching and scabs was taking st john's wort for depression which also causes sun sensitivity, bad combination cannot take at night or i'm up all night in bathroom."
LIPITOR.167,st john's wort,foot and leg cramps,"heaviness in the legs, foot and leg cramps at night and even long muscles beside spine, those are the worst. rashes on forearms from sun sensitivity, scarred from itching and scabs was taking st john's wort for depression which also causes sun sensitivity, bad combination cannot take at night or i'm up all night in bathroom."
LIPITOR.167,st john's wort,heaviness in the legs,"heaviness in the legs, foot and leg cramps at night and even long muscles beside spine, those are the worst. rashes on forearms from sun sensitivity, scarred from itching and scabs was taking st john's wort for depression which also causes sun sensitivity, bad combination cannot take at night or i'm up all night in bathroom."
LIPITOR.167,st john's wort,i'm up all night in bathroom,"heaviness in the legs, foot and leg cramps at night and even long muscles beside spine, those are the worst. rashes on forearms from sun sensitivity, scarred from itching and scabs was taking st john's wort for depression which also causes sun sensitivity, bad combination cannot take at night or i'm up all night in bathroom."
LIPITOR.167,st john's wort,itching,"heaviness in the legs, foot and leg cramps at night and even long muscles beside spine, those are the worst. rashes on forearms from sun sensitivity, scarred from itching and scabs was taking st john's wort for depression which also causes sun sensitivity, bad combination cannot take at night or i'm up all night in bathroom."
LIPITOR.167,st john's wort,rashes,"heaviness in the legs, foot and leg cramps at night and even long muscles beside spine, those are the worst. rashes on forearms from sun sensitivity, scarred from itching and scabs was taking st john's wort for depression which also causes sun sensitivity, bad combination cannot take at night or i'm up all night in bathroom."
LIPITOR.167,st john's wort,scabs,"heaviness in the legs, foot and leg cramps at night and even long muscles beside spine, those are the worst. rashes on forearms from sun sensitivity, scarred from itching and scabs was taking st john's wort for depression which also causes sun sensitivity, bad combination cannot take at night or i'm up all night in bathroom."
LIPITOR.167,st john's wort,sun sensitivity,"heaviness in the legs, foot and leg cramps at night and even long muscles beside spine, those are the worst. rashes on forearms from sun sensitivity, scarred from itching and scabs was taking st john's wort for depression which also causes sun sensitivity, bad combination cannot take at night or i'm up all night in bathroom."
LIPITOR.167,pravachol,my skin in boils,pravachol pushed cholesterol out my skin in boils.
LIPITOR.167,lopids,coming down with the flu,"lopids made me feel like i was coming down with the flu constantly, low grade fever and just felt sick all the time."
LIPITOR.167,lopids,fever,"lopids made me feel like i was coming down with the flu constantly, low grade fever and just felt sick all the time."
LIPITOR.167,lopids,sick,"lopids made me feel like i was coming down with the flu constantly, low grade fever and just felt sick all the time."
LIPITOR.167,lipitor,sick,"lipitor keeps me from getting sick, 3-4 days off of them and i'm up all night sick."
LIPITOR.17,lipitor,disabled,"a site by a former family physician nasa flight surgeon, disabled by his use of lipitor."
LIPITOR.171,lipitor,lower back pain,after 1 year being off lipitor i still have the lower back pain that forces me to wake up and get out of bed after exactly 7.5 hours of sleep!
LIPITOR.171,lipitor,pain,i think it has something to do with the spinal disks expanding at night and by morning something that was damaged in that area by lipitor kicks in pain.
LIPITOR.174,lipitor,joint pain,restarted lipitor at 5 milligrams and after 7 days seem to be having wicked joint pain again.
LIPITOR.175,lipitor,asthma,"i was taking, some allergy asthma stuff and lipitor."
LIPITOR.176,lipitor,pain traveling to my buddocks,after about 4 years of taking lipitor i started experiencing severe leg cramping at night with the pain traveling to my buddocks and stomach as well.
LIPITOR.176,lipitor,severe leg cramping,after about 4 years of taking lipitor i started experiencing severe leg cramping at night with the pain traveling to my buddocks and stomach as well.
LIPITOR.176,advil,pain,the pain was so bad i could not get out of the bed and had to crawl to get to the bathroom to take advil for the pain.
LIPITOR.177,lipitor,paralysis,"i'm not sure if this is related to the lipitor, but shortly after i started taking it, i exprienced complete paralysis in my forehead peripheral neuropathy ."
LIPITOR.177,lipitor,peripheral neuropathy,"i'm not sure if this is related to the lipitor, but shortly after i started taking it, i exprienced complete paralysis in my forehead peripheral neuropathy ."
LIPITOR.18,pravachol,hurt,"worse when changed to pravachol- this made all joints, muscles and tendons hurt all over my body- that's how i learned it was the statins causing my problem- doctor still doesn't believe me."
LIPITOR.18,statins,hurt,"worse when changed to pravachol- this made all joints, muscles and tendons hurt all over my body- that's how i learned it was the statins causing my problem- doctor still doesn't believe me."
LIPITOR.18,caffeine,fatigue,"recently discovered that completely avoiding all caffeine and alchohol and just drinking water durring the day helps the pain, fatigue and weakness diminish significantly."
LIPITOR.18,caffeine,pain,"recently discovered that completely avoiding all caffeine and alchohol and just drinking water durring the day helps the pain, fatigue and weakness diminish significantly."
LIPITOR.18,caffeine,weakness,"recently discovered that completely avoiding all caffeine and alchohol and just drinking water durring the day helps the pain, fatigue and weakness diminish significantly."
LIPITOR.180,lipitor,chronic fatigue,i thought i had developed chronic fatigue syndrome and restless leg syndrome until i looked on the internet for lipitor side effects.
LIPITOR.180,lipitor,restless leg syndrome,i thought i had developed chronic fatigue syndrome and restless leg syndrome until i looked on the internet for lipitor side effects.
LIPITOR.181,mevacor,hair loss,they all help some. but have gotten leg cramps with all and some hair loss with mevacor.
LIPITOR.181,mevacor,leg cramps,they all help some. but have gotten leg cramps with all and some hair loss with mevacor.
LIPITOR.183,lipitor,crippled,"dec 2003,started 1 day 10 milligrams lipitor after zocor crippled me and powder stuff did nothing."
LIPITOR.183,zocor,crippled,"dec 2003,started 1 day 10 milligrams lipitor after zocor crippled me and powder stuff did nothing."
LIPITOR.183,crestor,muscle ache,"quit lipitor! tried crestor, but had muscle ache pain,not as bad as zocor!"
LIPITOR.183,crestor,pain,"quit lipitor! tried crestor, but had muscle ache pain,not as bad as zocor!"
